"","Stemmed","Lemmatised","STM"
"398","con","compassionate","bell"
"399","concern","competent","belong"
"400","concis","complain","belov"
"401","condescend","complaint","bend"
"402","condit","complete","benef"
"403","conduct","completely","benefici"
"404","confid","completley","benefit"
"405","confidenti","complex","benn"
"406","confirm","compliant","bereav"
"407","confus","compliment","best"
"408","connect","comprehensive","beta"
"409","conscienti","con","better"
"410","consciou","concern","bettter"
"411","consid","concise","beyond"
"412","consider","condescend","bhogal"
"413","consist","condition","bi-polar"
"414","constant","conduct","big"
"415","constantli","confidence","bigger"
"416","constraint","confident","biggest"
"417","construct","confidentiality","bike"
"418","consult","confidently","bin"
"419","contact","confirm","bingham"
"420","content","confirmation","biofeedback"
"421","contin","confuse","birmingham"
"422","continu","confusion","birth"
"423","control","connect","birthday"
"424","conveni","conscientious","biscuit"
"425","convers","conscious","bit"
"426","cook","consider","bitten"
"427","coordin","considerable","black"
"428","copd","considerably","blackmail"
"429","cope","considerate","bladder"
"430","copi","consideration","blame"
"431","corona","consistency","blank"
"432","coronaviru","consistent","blanket"
"433","correct","constant","blatant"
"434","correctli","constantly","bleed"
"435","corridor","constraint","blend"
"436","cost","constructive","bless"
"437","couldnt","consult","blind"
"438","counsel","consultancy","blip-"
"439","counsellor","consultant","blister"
"440","count","consultation","block"
"441","coupl","contact","blocker"
"442","cours","contactable","blood"
"443","courteou","content","bloodi"
"444","courtesi","continence","blow"
"445","cover","continual","blown"
"446","covid","continue","blur"
"447","coz","continuity","board"
"448","cpn","continuous","bodi"
"449","craft","control","boghal"
"450","cream","convenient","bohan"
"451","creat","conversation","bol"
"452","credit","cook","bombard"
"453","crimin","cool","bond"
"454","crisi","coordination","bonus"
"455","criteria","coordinator","book"
"456","critic","copd","booklet"
"457","cross","cope","boost"
"458","crucial","copy","boot"
"459","cry","corona","bord"
"460","ct","coronavirus","borderlin"
"461","cubicl","correct","bore"
"462","cuff","correctly","boredom"
"463","cup","corridor","born"
"464","cure","cost","boston"
"465","current","couldnt","bother"
"466","curri","counsel","bottom"
"467","curtain","counsellor","bought"
"468","custodi","count","bound"
"469","custom","couple","bowel"
"470","cut","course","bowl"
"471","cycl","courteous","box"
"472","d","courtesy","boy"
"473","dad","cover","bpd"
"474","dai","covid","bradgat"
"475","daili","coz","brain"
"476","daisi","cpn","brave"
"477","damag","cpns","breach"
"478","danger","craft","break"
"479","dark","cream","breakdown"
"480","darren","create","breakfast"
"481","date","credit","breakit"
"482","daughter","criminal","breast"
"483","daunt","crisis","breastfe"
"484","dave","criterion","breastfeed"
"485","davi","criticism","breath"
"486","daycar","cross","bridgeford"
"487","deaf","crucial","bridget"
"488","deal","cry","bridgford"
"489","dealt","ct","brief"
"490","dearli","cubicle","bright"
"491","death","cuff","briiliant"
"492","debbi","cup","bril"
"493","dec","cure","brill"
"494","decid","current","brilliant"
"495","deciph","currently","brilliantnurs"
"496","decis","curtain","brilliantwel"
"497","declin","custody","brilliantxxxx"
"498","decor","customer","bring"
"499","decreas","cut","broad"
"500","dedic","cycle","broke"
"501","deep","dad","broken"
"502","definetlei","daily","bronchiti"
"503","definit","daisy","brother"
"504","dehydr","damage","brought"
"505","delai","danger","brunch"
"506","delia","dangerous","brush"
"507","delight","dark","bryoni"
"508","deliv","darren","bshould"
"509","deliveri","date","bsl"
"510","demand","daughter","buckingham"
"511","dementia","daunt","bud"
"512","demonstr","dave","buddi"
"513","depart","davis","budget"
"514","depend","day","build"
"515","depress","daycare","builder"
"516","dept","deaf","built"
"517","depth","deal","bulli"
"518","describ","dealings","bump"
"519","deserv","dearly","bunch"
"520","design","death","bundl"
"521","desir","debbie","bungalow"
"522","desper","dec","bunion"
"523","despit","decide","burden"
"524","detail","decipher","bureaucraci"
"525","deterior","decision","burn"
"526","determin","decline","burnt"
"527","detox","decoration","burst"
"528","detriment","decrease","bus"
"529","develop","dedicate","busi"
"530","di","dedication","bust"
"531","diabet","deep","bustl"
"532","diagnos","definetley","but"
"533","diagnosi","definitely","butter"
"534","diagnost","dehydrate","button"
"535","diamond","delay","buy"
"536","dian","delia","buzzer"
"537","diann","delight","buzzword"
"538","didnt","delightful","bypass"
"539","diet","deliver","byron"
"540","dietician","delivery","bythat"
"541","differ","demand","caddi"
"542","difficult","dementia","café"
"543","difficulti","demonstrate","cahm"
"544","dignifi","department","cake"
"545","digniti","depend","call"
"546","dilig","depress","caller"
"547","dine","depression","calm"
"548","dinner","dept","calmer"
"549","direct","depth","calori"
"550","directli","describe","calvin"
"551","dirti","deserve","came"
"552","disabl","desire","camh"
"553","disappoint","desperate","can"
"554","discharg","despite","can’t"
"555","discreet","detail","cancel"
"556","discrimin","deteriorate","cancer"
"557","discuss","determine","cane"
"558","disgust","detox","cannul"
"559","dismiss","detrimental","cannula"
"560","disord","development","cannulablood"
"561","disrespect","diabetes","cant"
"562","disrupt","diabetic","capabl"
"563","distanc","diagnose","capac"
"564","distract","diagnosis","car"
"565","distress","diagnostic","carb"
"566","district","diamond","card"
"567","disturb","diane","cardiac"
"568","divers","dianne","care"
"569","dn","didnt","care—consider"
"570","doctor","die","carear"
"571","doe","diet","career"
"572","doesnt","dietician","carei"
"573","dog","difference","caremanag"
"574","domest","different","carer"
"575","done","differently","carer’"
"576","dont","difficult","carermad"
"577","door","difficulty","carestaff"
"578","dopamin","dignify","caretak"
"579","dose","dignity","carethey"
"580","dosent","diligent","caretreat"
"581","doubt","dine","careveri"
"582","dpm","dinner","caringkindhelp"
"583","dr","direct","carlton"
"584","drag","direction","carmen"
"585","drain","directly","carn‘t"
"586","drama","dirty","carnt"
"587","drc","disability","carolin"
"588","dread","disable","carpentri"
"589","dress","disappoint","carpet"
"590","drink","discharge","carri"
"591","drive","discreet","case"
"592","driver","discuss","cash"
"593","drop","discussion","cass"
"594","drug","disgust","castrat"
"595","due","dismissive","cataton"
"596","dure","disorder","cater"
"597","duti","disrespectful","catherin"
"598","dvd","disrupt","cathet"
"599","dy","disruption","catheteris"
"600","e","distance","caught"
"601","eager","distract","caus"
"602","ear","distraction","cbt"
"603","earli","distress","cco"
"604","earlier","district","cdu"
"605","earth","disturb","cell"
"606","eas","dn","center"
"607","easi","dns","centr"
"608","easier","doctor","central"
"609","easili","doesnt","centric"
"610","east","dog","certain"
"611","eat","domestic","certif"
"612","ed","door","certifi"
"613","educ","dopamine","chain"
"614","effect","dose","chair"
"615","effici","dosent","challeng"
"616","effort","doubt","chanc"
"617","either","dpm","chang"
"618","elderli","dr","channel"
"619","electr","drag","chaotic"
"620","element","drain","chaplainci"
"621","ella","drama","charact"
"622","els","drc","charg"
"623","elsewher","dread","charger"
"624","email","dress","chariti"
"625","embarrass","dressing","charlatan"
"626","emerg","drink","charlott"
"627","emma","drive","charm"
"628","emot","driver","chase"
"629","emotion","drop","chat"
"630","empath","drug","chatterje"
"631","empathet","dry","chatti"
"632","empathi","due","check"
"633","emphat","duty","cheer"
"634","emploi","dying","cheerfulhelpfulconfid"
"635","employ","e","cheerfulsmil"
"636","empti","eager","cheeri"
"637","en","ear","chees"
"638","enabl","early","chemist"
"639","encount","earth","chemo"
"640","encourag","ease","chemotherapi"
"641","end","easily","cherri"
"642","engag","east","chess"
"643","enjoi","easy","chest"
"644","enjoy","eat","chew"
"645","enorm","ed","chi"
"646","enough","educate","chicken"
"647","enquir","education","child"
"648","ensur","educational","child’"
"649","enter","effect","childcar"
"650","entertain","effective","childhood"
"651","enthusiast","effectively","children"
"652","entir","efficiency","children’"
"653","environ","efficient","china"
"654","episod","efficiently","chip"
"655","equal","effort","chocol"
"656","equip","either","choe"
"657","error","elderly","choic"
"658","escal","electric","choicebut"
"659","escort","element","chole"
"660","esp","ella","choos"
"661","especi","else","chose"
"662","essenti","elsewhere","chosen"
"663","establish","email","chris"
"664","estim","embarrass","christi"
"665","even","emergency","christian"
"666","event","emma","christma"
"667","eventu","emotion","chronic"
"668","ever","emotional","chutney"
"669","everi","emotionally","cigarett"
"670","everth","empathetic","cin"
"671","everybodi","empathic","cinema"
"672","everydai","empathy","cinss"
"673","everyon","emphatic","circl"
"674","everyth","employ","circuit"
"675","everywher","employment","circumst"
"676","evid","empty","citi"
"677","ex","en","clair"
"678","exacerb","enable","clairerebeccamegan"
"679","exact","encounter","clarendon"
"680","exactli","encourage","clarif"
"681","examin","encouragement","clarifi"
"682","exampl","end","clariti"
"683","exceed","engage","class"
"684","excel","engagement","claudia"
"685","except","enjoy","clean"
"686","exception","enjoyable","cleaner"
"687","exel","enormously","cleanli"
"688","exemplari","enough","cleansiv"
"689","exercis","enquire","clear"
"690","exersic","ensure","clearer"
"691","exist","enter","clee"
