"","Stemmed","Lemmatised","STM"
"2724",NA,NA,"posit"
"2725",NA,NA,"positivity-"
"2726",NA,NA,"possess"
"2727",NA,NA,"possibl"
"2728",NA,NA,"post"
"2729",NA,NA,"post-diagnosi"
"2730",NA,NA,"post-op"
"2731",NA,NA,"postcod"
"2732",NA,NA,"postphycologist"
"2733",NA,NA,"postur"
"2734",NA,NA,"potato"
"2735",NA,NA,"potato’"
"2736",NA,NA,"potenti"
"2737",NA,NA,"potentiolli"
"2738",NA,NA,"powar"
"2739",NA,NA,"power"
"2740",NA,NA,"ppe"
"2741",NA,NA,"ppl"
"2742",NA,NA,"practic"
"2743",NA,NA,"praction"
"2744",NA,NA,"practition"
"2745",NA,NA,"pragmat"
"2746",NA,NA,"prais"
"2747",NA,NA,"pray"
"2748",NA,NA,"pre"
"2749",NA,NA,"pre-arrang"
"2750",NA,NA,"pre-exit"
"2751",NA,NA,"pre-oper"
"2752",NA,NA,"pre-talk"
"2753",NA,NA,"preachey"
"2754",NA,NA,"precalin"
"2755",NA,NA,"precious"
"2756",NA,NA,"precis"
"2757",NA,NA,"prefer"
"2758",NA,NA,"pregnanc"
"2759",NA,NA,"prem"
"2760",NA,NA,"prematur"
"2761",NA,NA,"premis"
"2762",NA,NA,"preoper"
"2763",NA,NA,"prep"
"2764",NA,NA,"prepar"
"2765",NA,NA,"prescrib"
"2766",NA,NA,"prescript"
"2767",NA,NA,"present"
"2768",NA,NA,"press"
"2769",NA,NA,"pressur"
"2770",NA,NA,"preston"
"2771",NA,NA,"pretend"
"2772",NA,NA,"pretti"
"2773",NA,NA,"prevail"
"2774",NA,NA,"prevent"
"2775",NA,NA,"previous"
"2776",NA,NA,"price"
"2777",NA,NA,"priceless"
"2778",NA,NA,"primari"
"2779",NA,NA,"print"
"2780",NA,NA,"prior"
"2781",NA,NA,"prioriti"
"2782",NA,NA,"prioritis"
"2783",NA,NA,"prison"
"2784",NA,NA,"privaci"
"2785",NA,NA,"privat"
"2786",NA,NA,"privateconfidenti"
"2787",NA,NA,"privileg"
"2788",NA,NA,"prn"
"2789",NA,NA,"pro"
"2790",NA,NA,"pro-act"
"2791",NA,NA,"proactiv"
"2792",NA,NA,"probabl"
"2793",NA,NA,"problem"
"2794",NA,NA,"procedur"
"2795",NA,NA,"proceed"
"2796",NA,NA,"proceedur"
"2797",NA,NA,"process"
"2798",NA,NA,"produc"
"2799",NA,NA,"product"
"2800",NA,NA,"profesion"
"2801",NA,NA,"profess"
"2802",NA,NA,"profession"
"2803",NA,NA,"professionalfriend"
"2804",NA,NA,"professor"
"2805",NA,NA,"proffes"
"2806",NA,NA,"proffesion"
"2807",NA,NA,"proffession"
"2808",NA,NA,"profici"
"2809",NA,NA,"prognosi"
"2810",NA,NA,"program"
"2811",NA,NA,"programm"
"2812",NA,NA,"progress"
"2813",NA,NA,"project"
"2814",NA,NA,"promis"
"2815",NA,NA,"promot"
"2816",NA,NA,"prompt"
"2817",NA,NA,"promptley"
"2818",NA,NA,"proof"
"2819",NA,NA,"prop"
"2820",NA,NA,"proper"
"2821",NA,NA,"properti"
"2822",NA,NA,"proport"
"2823",NA,NA,"propos"
"2824",NA,NA,"protect"
"2825",NA,NA,"protocol"
"2826",NA,NA,"proud"
"2827",NA,NA,"prove"
"2828",NA,NA,"provid"
"2829",NA,NA,"provis"
"2830",NA,NA,"provok"
"2831",NA,NA,"psyc"
"2832",NA,NA,"psychiatr"
"2833",NA,NA,"psychiatrist"
"2834",NA,NA,"psycholog"
"2835",NA,NA,"psychologist"
"2836",NA,NA,"psychot"
"2837",NA,NA,"psychotherapi"
"2838",NA,NA,"pts"
"2839",NA,NA,"ptsd"
"2840",NA,NA,"public"
"2841",NA,NA,"pud"
"2842",NA,NA,"pull"
"2843",NA,NA,"pump"
"2844",NA,NA,"punctual"
"2845",NA,NA,"punctur"
"2846",NA,NA,"punish"
"2847",NA,NA,"purpos"
"2848",NA,NA,"push"
"2849",NA,NA,"put"
"2850",NA,NA,"qmc"
"2851",NA,NA,"qualifi"
"2852",NA,NA,"qualiti"
"2853",NA,NA,"quantiti"
"2854",NA,NA,"queen"
"2855",NA,NA,"queri"
"2856",NA,NA,"question"
"2857",NA,NA,"questionnair"
"2858",NA,NA,"questionsdistress"
"2859",NA,NA,"questionsthey"
"2860",NA,NA,"queue"
"2861",NA,NA,"quich"
"2862",NA,NA,"quick"
"2863",NA,NA,"quicker"
"2864",NA,NA,"quiet"
"2865",NA,NA,"quieter"
"2866",NA,NA,"quit"
"2867",NA,NA,"quiz"
"2868",NA,NA,"quizz"
"2869",NA,NA,"quot"
"2870",NA,NA,"rachel"
"2871",NA,NA,"racial"
"2872",NA,NA,"radiat"
"2873",NA,NA,"radio"
"2874",NA,NA,"radiograph"
"2875",NA,NA,"radiologist"
"2876",NA,NA,"rail"
"2877",NA,NA,"rais"
"2878",NA,NA,"ramp"
"2879",NA,NA,"rampton"
"2880",NA,NA,"ran"
"2881",NA,NA,"rang"
"2882",NA,NA,"rant"
"2883",NA,NA,"rapid"
"2884",NA,NA,"rapport"
"2885",NA,NA,"raptur"
"2886",NA,NA,"rare"
"2887",NA,NA,"rate"
"2888",NA,NA,"rather"
"2889",NA,NA,"ration"
"2890",NA,NA,"ray"
"2891",NA,NA,"razor"
"2892",NA,NA,"re-arrang"
"2893",NA,NA,"re-assur"
"2894",NA,NA,"re-catheteris"
"2895",NA,NA,"re-hab"
"2896",NA,NA,"reablement"
"2897",NA,NA,"reach"
"2898",NA,NA,"react"
"2899",NA,NA,"reaction"
"2900",NA,NA,"read"
"2901",NA,NA,"readi"
"2902",NA,NA,"readili"
"2903",NA,NA,"real"
"2904",NA,NA,"realis"
"2905",NA,NA,"realist"
"2906",NA,NA,"realiti"
"2907",NA,NA,"realiz"
"2908",NA,NA,"realli"
"2909",NA,NA,"reappear"
"2910",NA,NA,"rearlli"
"2911",NA,NA,"reasearch"
"2912",NA,NA,"reason"
"2913",NA,NA,"reassur"
"2914",NA,NA,"recal"
"2915",NA,NA,"receiv"
"2916",NA,NA,"recent"
"2917",NA,NA,"recentley"
"2918",NA,NA,"recepionist"
"2919",NA,NA,"recept"
"2920",NA,NA,"receptionist"
"2921",NA,NA,"recheck"
"2922",NA,NA,"reciev"
"2923",NA,NA,"recipi"
"2924",NA,NA,"recognis"
"2925",NA,NA,"recognit"
"2926",NA,NA,"recom"
"2927",NA,NA,"recomend"
"2928",NA,NA,"recommend"
"2929",NA,NA,"recommendt"
"2930",NA,NA,"record"
"2931",NA,NA,"recov"
"2932",NA,NA,"recoveri"
"2933",NA,NA,"recruit"
"2934",NA,NA,"recuper"
"2935",NA,NA,"recurr"
"2936",NA,NA,"red"
"2937",NA,NA,"redact"
"2938",NA,NA,"redecor"
"2939",NA,NA,"redress"
"2940",NA,NA,"reduc"
"2941",NA,NA,"reduct"
"2942",NA,NA,"ref"
"2943",NA,NA,"refer"
"2944",NA,NA,"referr"
"2945",NA,NA,"reffer"
"2946",NA,NA,"reflect"
"2947",NA,NA,"refresh"
"2948",NA,NA,"refus"
"2949",NA,NA,"regain"
"2950",NA,NA,"regard"
"2951",NA,NA,"regardless"
"2952",NA,NA,"regim"
"2953",NA,NA,"regular"
"2954",NA,NA,"regurlar"
"2955",NA,NA,"rehab"
"2956",NA,NA,"rehabilit"
"2957",NA,NA,"reinforc"
"2958",NA,NA,"reinstat"
"2959",NA,NA,"reject"
"2960",NA,NA,"rel"
"2961",NA,NA,"relaps"
"2962",NA,NA,"relat"
"2963",NA,NA,"relatedreport"
"2964",NA,NA,"relationship"
"2965",NA,NA,"relax"
"2966",NA,NA,"relay"
"2967",NA,NA,"releas"
"2968",NA,NA,"relev"
"2969",NA,NA,"reli"
"2970",NA,NA,"reliabl"
"2971",NA,NA,"relianc"
"2972",NA,NA,"relief"
"2973",NA,NA,"reliev"
"2974",NA,NA,"relif"
"2975",NA,NA,"relock"
"2976",NA,NA,"reluct"
"2977",NA,NA,"remain"
"2978",NA,NA,"remark"
"2979",NA,NA,"rememb"
"2980",NA,NA,"rememberdr"
"2981",NA,NA,"remind"
"2982",NA,NA,"remot"
"2983",NA,NA,"remov"
"2984",NA,NA,"render"
"2985",NA,NA,"reoccurr"
"2986",NA,NA,"repair"
"2987",NA,NA,"repeat"
"2988",NA,NA,"repet"
"2989",NA,NA,"repetit"
"2990",NA,NA,"replac"
"2991",NA,NA,"repli"
"2992",NA,NA,"report"
"2993",NA,NA,"reput"
"2994",NA,NA,"request"
"2995",NA,NA,"requir"
"2996",NA,NA,"reschedul"
"2997",NA,NA,"research"
"2998",NA,NA,"resembl"
"2999",NA,NA,"reserv"
"3000",NA,NA,"resettl"
"3001",NA,NA,"resid"
"3002",NA,NA,"resolv"
"3003",NA,NA,"resort"
"3004",NA,NA,"resourc"
"3005",NA,NA,"respect"
"3006",NA,NA,"respect<U+2764><U+FE0F><U+2764><U+FE0F>"
"3007",NA,NA,"respectfulkindhelp"
"3008",NA,NA,"respiratori"
"3009",NA,NA,"respit"
"3010",NA,NA,"respond"
"3011",NA,NA,"respons"
"3012",NA,NA,"rest"
"3013",NA,NA,"restart"
"3014",NA,NA,"restor"
"3015",NA,NA,"restraint"
"3016",NA,NA,"restrict"
"3017",NA,NA,"result"
"3018",NA,NA,"resur"
"3019",NA,NA,"retina"
"3020",NA,NA,"retir"
"3021",NA,NA,"retrain"
"3022",NA,NA,"return"
"3023",NA,NA,"reus"
"3024",NA,NA,"revers"
"3025",NA,NA,"revier"
"3026",NA,NA,"review"
"3027",NA,NA,"revisit"
"3028",NA,NA,"reward"
"3029",NA,NA,"richard"
"3030",NA,NA,"rid"
"3031",NA,NA,"ride"
"3032",NA,NA,"ridicul"
"3033",NA,NA,"rig"
"3034",NA,NA,"rigalia"
"3035",NA,NA,"right"
"3036",NA,NA,"ring"
"3037",NA,NA,"rise"
"3038",NA,NA,"risk"
"3039",NA,NA,"rmn"
"3040",NA,NA,"road"
"3041",NA,NA,"roast"
"3042",NA,NA,"rob"
"3043",NA,NA,"robot"
"3044",NA,NA,"rock"
"3045",NA,NA,"roger"
"3046",NA,NA,"rogu"
"3047",NA,NA,"role"
"3048",NA,NA,"roll"
"3049",NA,NA,"rollat"
"3050",NA,NA,"roof"
"3051",NA,NA,"room"
"3052",NA,NA,"roomi"
"3053",NA,NA,"rotat"
"3054",NA,NA,"rough"
"3055",NA,NA,"round"
"3056",NA,NA,"rout"
"3057",NA,NA,"routin"
"3058",NA,NA,"row"
"3059",NA,NA,"rowdi"
"3060",NA,NA,"royal"
"3061",NA,NA,"royalti"
"3062",NA,NA,"rrlp"
"3063",NA,NA,"rubbish"
"3064",NA,NA,"rubicon"
"3065",NA,NA,"ruddington"
"3066",NA,NA,"rude"
"3067",NA,NA,"rule"
"3068",NA,NA,"run"
"3069",NA,NA,"rung"
"3070",NA,NA,"rush"
"3071",NA,NA,"rushedstress"
"3072",NA,NA,"rusti"
"3073",NA,NA,"rutland"
"3074",NA,NA,"rv-w"
"3075",NA,NA,"ryan"
"3076",NA,NA,"ryle"
"3077",NA,NA,"sack"
"3078",NA,NA,"sad"
"3079",NA,NA,"safe"
"3080",NA,NA,"safeguard"
"3081",NA,NA,"safeti"
"3082",NA,NA,"saftey"
"3083",NA,NA,"sage"
"3084",NA,NA,"said"
"3085",NA,NA,"saint"
"3086",NA,NA,"salad"
"3087",NA,NA,"salli"
"3088",NA,NA,"salt"
"3089",NA,NA,"salvat"
"3090",NA,NA,"sam"
"3091",NA,NA,"sandra"
"3092",NA,NA,"sandwich"
"3093",NA,NA,"sara"
"3094",NA,NA,"sarah"
"3095",NA,NA,"sat"
"3096",NA,NA,"satisfact"
"3097",NA,NA,"satisfactori"
"3098",NA,NA,"satisfatu"
"3099",NA,NA,"satisfi"
"3100",NA,NA,"saturday"
"3101",NA,NA,"save"
"3102",NA,NA,"saver"
"3103",NA,NA,"saw"
"3104",NA,NA,"say"
"3105",NA,NA,"scale"
"3106",NA,NA,"scan"
"3107",NA,NA,"scare"
"3108",NA,NA,"scari"
"3109",NA,NA,"scenario"
"3110",NA,NA,"sceneri"
"3111",NA,NA,"sceptic"
"3112",NA,NA,"schedul"
"3113",NA,NA,"schizophreniadepress"
"3114",NA,NA,"schofield"
"3115",NA,NA,"school"
"3116",NA,NA,"scientif"
"3117",NA,NA,"scofield"
"3118",NA,NA,"scold"
"3119",NA,NA,"score"
"3120",NA,NA,"scott"
"3121",NA,NA,"scrabbl"
"3122",NA,NA,"scrap"
"3123",NA,NA,"scrappi"
"3124",NA,NA,"screen"
"3125",NA,NA,"script"
"3126",NA,NA,"scrub"
"3127",NA,NA,"sds"
"3128",NA,NA,"seamless"
"3129",NA,NA,"sean"
"3130",NA,NA,"seat"
"3131",NA,NA,"seclus"
"3132",NA,NA,"second"
"3133",NA,NA,"secondari"
"3134",NA,NA,"secretari"
"3135",NA,NA,"section"
"3136",NA,NA,"sector"
"3137",NA,NA,"secur"
"3138",NA,NA,"sed"
"3139",NA,NA,"sedat"
"3140",NA,NA,"see"
"3141",NA,NA,"seek"
"3142",NA,NA,"seem"
"3143",NA,NA,"seemless"
"3144",NA,NA,"seen"
"3145",NA,NA,"seg"
"3146",NA,NA,"select"
"3147",NA,NA,"self"
"3148",NA,NA,"self-harm"
"3149",NA,NA,"selfish"
"3150",NA,NA,"selv"
"3151",NA,NA,"sempt"
"3152",NA,NA,"sen"
"3153",NA,NA,"send"
"3154",NA,NA,"sens"
"3155",NA,NA,"sensibl"
"3156",NA,NA,"sensit"
"3157",NA,NA,"sensori"
"3158",NA,NA,"sent"
"3159",NA,NA,"sentenc"
"3160",NA,NA,"sentiment"
"3161",NA,NA,"separ"
"3162",NA,NA,"sepsi"
"3163",NA,NA,"septemb"
"3164",NA,NA,"seri"
"3165",NA,NA,"serious"
"3166",NA,NA,"serv"
"3167",NA,NA,"server"
"3168",NA,NA,"servic"
"3169",NA,NA,"service”"
"3170",NA,NA,"servicecar"
"3171",NA,NA,"servicehug"
"3172",NA,NA,"servicekept"
"3173",NA,NA,"servis"
"3174",NA,NA,"servuc"
"3175",NA,NA,"session"
"3176",NA,NA,"set"
"3177",NA,NA,"settl"
"3178",NA,NA,"sever"
"3179",NA,NA,"sexual"
"3180",NA,NA,"shake"
"3181",NA,NA,"shambl"
"3182",NA,NA,"shame"
"3183",NA,NA,"shannon"
"3184",NA,NA,"shape"
"3185",NA,NA,"share"
"3186",NA,NA,"sharon"
"3187",NA,NA,"shave"
"3188",NA,NA,"sheet"
"3189",NA,NA,"sheffield"
"3190",NA,NA,"shelley"
"3191",NA,NA,"shes"
"3192",NA,NA,"shield"
"3193",NA,NA,"shift"
"3194",NA,NA,"shir"
"3195",NA,NA,"shit"
"3196",NA,NA,"shiver"
"3197",NA,NA,"shock"
"3198",NA,NA,"shoe"
"3199",NA,NA,"shoot"
"3200",NA,NA,"shop"
"3201",NA,NA,"short"
"3202",NA,NA,"shortag"
"3203",NA,NA,"shorter"
"3204",NA,NA,"should"
"3205",NA,NA,"shoulder"
"3206",NA,NA,"shouldn’t"
"3207",NA,NA,"shouldnt"
"3208",NA,NA,"shouldv"
"3209",NA,NA,"shout"
"3210",NA,NA,"show"
"3211",NA,NA,"shower"
"3212",NA,NA,"shown"
"3213",NA,NA,"shrink"
"3214",NA,NA,"shut"
"3215",NA,NA,"sick"
"3216",NA,NA,"side"
"3217",NA,NA,"sideroom"
"3218",NA,NA,"sign"
"3219",NA,NA,"signag"
"3220",NA,NA,"signific"
"3221",NA,NA,"signpost"
"3222",NA,NA,"silenc"
"3223",NA,NA,"sill"
"3224",NA,NA,"silli"
"3225",NA,NA,"silver"
"3226",NA,NA,"similar"
"3227",NA,NA,"simon"
"3228",NA,NA,"simpl"
"3229",NA,NA,"simpleoveral"
"3230",NA,NA,"simplest"
"3231",NA,NA,"simpli"
"3232",NA,NA,"simplic"
"3233",NA,NA,"sinc"
"3234",NA,NA,"sincer"
"3235",NA,NA,"sing"
"3236",NA,NA,"singl"
"3237",NA,NA,"sinist"
"3238",NA,NA,"sink"
"3239",NA,NA,"sins"
"3240",NA,NA,"sir"
"3241",NA,NA,"sister"
"3242",NA,NA,"sit"
"3243",NA,NA,"situ"
"3244",NA,NA,"situat"
"3245",NA,NA,"six"
"3246",NA,NA,"size"
"3247",NA,NA,"skil"
"3248",NA,NA,"skill"
"3249",NA,NA,"skin"
"3250",NA,NA,"slacker"
"3251",NA,NA,"sleep"
"3252",NA,NA,"sleeper"
"3253",NA,NA,"sleepless"
"3254",NA,NA,"sleev"
"3255",NA,NA,"slept"
"3256",NA,NA,"sligfht"
"3257",NA,NA,"slight"
"3258",NA,NA,"slot"
"3259",NA,NA,"slow"
"3260",NA,NA,"slower"
"3261",NA,NA,"slowli"
"3262",NA,NA,"slt"
"3263",NA,NA,"small"
"3264",NA,NA,"smaller"
"3265",NA,NA,"smart"
"3266",NA,NA,"smartphon"
"3267",NA,NA,"smash"
"3268",NA,NA,"smell"
"3269",NA,NA,"smelt"
"3270",NA,NA,"smile"
"3271",NA,NA,"smiley"
"3272",NA,NA,"smoke"
"3273",NA,NA,"smoker"
"3274",NA,NA,"smooth"
"3275",NA,NA,"smoothi"
"3276",NA,NA,"sms"
"3277",NA,NA,"snack"
"3278",NA,NA,"snotti"
"3279",NA,NA,"soap"
"3280",NA,NA,"sob"
"3281",NA,NA,"social"
"3282",NA,NA,"socialis"
"3283",NA,NA,"sock"
"3284",NA,NA,"socket"
"3285",NA,NA,"sofa"
"3286",NA,NA,"soggi"
"3287",NA,NA,"solid"
"3288",NA,NA,"solo"
"3289",NA,NA,"solut"
"3290",NA,NA,"solv"
"3291",NA,NA,"somebodi"
"3292",NA,NA,"someon"
"3293",NA,NA,"someth"
"3294",NA,NA,"somethinghelp"
"3295",NA,NA,"sometim"
"3296",NA,NA,"sometimesam"
"3297",NA,NA,"somewher"
"3298",NA,NA,"somon"
"3299",NA,NA,"somth"
"3300",NA,NA,"son"
"3301",NA,NA,"soon"
"3302",NA,NA,"sooner"
"3303",NA,NA,"soooo"
"3304",NA,NA,"sooooo"
"3305",NA,NA,"sophi"
"3306",NA,NA,"sore"
"3307",NA,NA,"sorri"
"3308",NA,NA,"sort"
"3309",NA,NA,"soso"
"3310",NA,NA,"sought"
"3311",NA,NA,"sound"
"3312",NA,NA,"soup"
"3313",NA,NA,"sourc"
"3314",NA,NA,"south"
"3315",NA,NA,"southwel"
"3316",NA,NA,"sovereign"
"3317",NA,NA,"spa"
"3318",NA,NA,"space"
"3319",NA,NA,"spain"
"3320",NA,NA,"spare"
"3321",NA,NA,"spark"
"3322",NA,NA,"spd"
"3323",NA,NA,"speak"
"3324",NA,NA,"speaker"
"3325",NA,NA,"special"
"3326",NA,NA,"specialis"
"3327",NA,NA,"specialist"
"3328",NA,NA,"specif"
"3329",NA,NA,"specifi"
"3330",NA,NA,"spectacl"
"3331",NA,NA,"speech"
"3332",NA,NA,"speed"
"3333",NA,NA,"speedi"
"3334",NA,NA,"speedier"
"3335",NA,NA,"spell"
"3336",NA,NA,"spelt"
"3337",NA,NA,"spend"
"3338",NA,NA,"spent"
"3339",NA,NA,"spinal"
"3340",NA,NA,"spire"
"3341",NA,NA,"spirit"
"3342",NA,NA,"spite"
"3343",NA,NA,"splendid"
"3344",NA,NA,"split"
"3345",NA,NA,"spoil"
"3346",NA,NA,"spoke"
"3347",NA,NA,"spoken"
"3348",NA,NA,"sport"
"3349",NA,NA,"spot"
"3350",NA,NA,"spring"
"3351",NA,NA,"sprung"
"3352",NA,NA,"squar"
"3353",NA,NA,"squeez"
"3354",NA,NA,"srn"
"3355",NA,NA,"ssaff"
"3356",NA,NA,"sshe"
"3357",NA,NA,"stabilis"
"3358",NA,NA,"stabl"
"3359",NA,NA,"staf"
"3360",NA,NA,"stafe"
"3361",NA,NA,"staff"
"3362",NA,NA,"staff-invalu"
"3363",NA,NA,"staff-surgeon"
"3364",NA,NA,"stafffriend"
"3365",NA,NA,"staffhealthcar"
"3366",NA,NA,"staffinformative’put"
"3367",NA,NA,"staffingdelay"
"3368",NA,NA,"staffnev"
"3369",NA,NA,"stafftim"
"3370",NA,NA,"stafftri"
"3371",NA,NA,"staffveri"
"3372",NA,NA,"stage"
"3373",NA,NA,"stair"
"3374",NA,NA,"stamina"
"3375",NA,NA,"stand"
"3376",NA,NA,"standard"
"3377",NA,NA,"star"
"3378",NA,NA,"starchi"
"3379",NA,NA,"staro"
"3380",NA,NA,"start"
"3381",NA,NA,"starter"
"3382",NA,NA,"state"
"3383",NA,NA,"statement"
"3384",NA,NA,"station"
"3385",NA,NA,"status"
"3386",NA,NA,"stay"
"3387",NA,NA,"steadi"
"3388",NA,NA,"steal"
"3389",NA,NA,"steer"
"3390",NA,NA,"stella"
"3391",NA,NA,"stent"
"3392",NA,NA,"step"
"3393",NA,NA,"steph"
"3394",NA,NA,"sterilis"
"3395",NA,NA,"sterl"
"3396",NA,NA,"steroid"
"3397",NA,NA,"steve"
"3398",NA,NA,"steven"
"3399",NA,NA,"stick"
"3400",NA,NA,"sticker"
"3401",NA,NA,"still"
"3402",NA,NA,"stim"
"3403",NA,NA,"stimul"
"3404",NA,NA,"stock"
"3405",NA,NA,"stodgi"
"3406",NA,NA,"stomach"
"3407",NA,NA,"stonebridg"
"3408",NA,NA,"stood"
"3409",NA,NA,"stop"
"3410",NA,NA,"stori"
"3411",NA,NA,"straight"
"3412",NA,NA,"straightforward"
"3413",NA,NA,"strain"
"3414",NA,NA,"strang"
"3415",NA,NA,"stranger"
"3416",NA,NA,"stratagi"
"3417",NA,NA,"strategi"
"3418",NA,NA,"stratergi"
"3419",NA,NA,"strateri"
"3420",NA,NA,"street"
"3421",NA,NA,"strength"
"3422",NA,NA,"strengthen"
"3423",NA,NA,"stress"
"3424",NA,NA,"stretch"
"3425",NA,NA,"stretcher"
"3426",NA,NA,"strict"
"3427",NA,NA,"stroke"
"3428",NA,NA,"strong"
"3429",NA,NA,"stronger"
"3430",NA,NA,"structur"
"3431",NA,NA,"struggl"
"3432",NA,NA,"stuart"
"3433",NA,NA,"stuation"
"3434",NA,NA,"stuck"
"3435",NA,NA,"student"
"3436",NA,NA,"studi"
"3437",NA,NA,"stuff"
"3438",NA,NA,"stuffi"
"3439",NA,NA,"stuggl"
"3440",NA,NA,"stupid"
"3441",NA,NA,"style"
"3442",NA,NA,"subject"
"3443",NA,NA,"submiss"
"3444",NA,NA,"subsequ"
"3445",NA,NA,"substanc"
"3446",NA,NA,"substitut"
"3447",NA,NA,"success"
"3448",NA,NA,"sudden"
"3449",NA,NA,"sue"
"3450",NA,NA,"suffer"
"3451",NA,NA,"sugar"
"3452",NA,NA,"suger"
"3453",NA,NA,"suggest"
"3454",NA,NA,"suicid"
"3455",NA,NA,"suicidalneg"
"3456",NA,NA,"suit"
"3457",NA,NA,"suitabl"
"3458",NA,NA,"suitcas"
"3459",NA,NA,"summaris"
"3460",NA,NA,"summer"
"3461",NA,NA,"sun"
"3462",NA,NA,"sunday"
"3463",NA,NA,"sunshin"
"3464",NA,NA,"super"
"3465",NA,NA,"superb"
"3466",NA,NA,"superhero"
"3467",NA,NA,"superior"
"3468",NA,NA,"superstar"
"3469",NA,NA,"supervis"
"3470",NA,NA,"supervisor"
"3471",NA,NA,"supervisori"
"3472",NA,NA,"supper"
"3473",NA,NA,"suppli"
"3474",NA,NA,"support"
"3475",NA,NA,"supportadvicehelp"
"3476",NA,NA,"supporthelp"
"3477",NA,NA,"supporttreat"
"3478",NA,NA,"suppos"
"3479",NA,NA,"sure"
"3480",NA,NA,"surenoth"
"3481",NA,NA,"surgeon"
"3482",NA,NA,"surgeri"
"3483",NA,NA,"surgic"
"3484",NA,NA,"surnam"
"3485",NA,NA,"surpris"
"3486",NA,NA,"surround"
"3487",NA,NA,"survey"
"3488",NA,NA,"surviv"
"3489",NA,NA,"susan"
"3490",NA,NA,"susann"
"3491",NA,NA,"suspect"
"3492",NA,NA,"suspicion"
"3493",NA,NA,"suzann"
"3494",NA,NA,"suzanna"
"3495",NA,NA,"suze"
"3496",NA,NA,"swallow"
"3497",NA,NA,"swap"
"3498",NA,NA,"sweet"
"3499",NA,NA,"sweeten"
"3500",NA,NA,"swift"
"3501",NA,NA,"swifter"
"3502",NA,NA,"swim"
"3503",NA,NA,"switch"
"3504",NA,NA,"switchboard"
"3505",NA,NA,"switchov"
"3506",NA,NA,"swollen"
"3507",NA,NA,"sylvi"
"3508",NA,NA,"symbol"
"3509",NA,NA,"sympathet"
"3510",NA,NA,"sympathi"
"3511",NA,NA,"sympathis"
"3512",NA,NA,"symptom"
"3513",NA,NA,"syn"
"3514",NA,NA,"syndrom"
"3515",NA,NA,"syring"
"3516",NA,NA,"system"
"3517",NA,NA,"tabl"
"3518",NA,NA,"tablet"
"3519",NA,NA,"tackl"
"3520",NA,NA,"tactic"
"3521",NA,NA,"tailor"
"3522",NA,NA,"taint"
"3523",NA,NA,"take"
"3524",NA,NA,"takeaway"
"3525",NA,NA,"taken"
"3526",NA,NA,"talk"
"3527",NA,NA,"talkat"
"3528",NA,NA,"tangent"
"3529",NA,NA,"tanya"
"3530",NA,NA,"tap"
"3531",NA,NA,"target"
"3532",NA,NA,"tarnish"
"3533",NA,NA,"tas"
"3534",NA,NA,"task"
"3535",NA,NA,"tast"
"3536",NA,NA,"tasteless"
"3537",NA,NA,"tasti"
"3538",NA,NA,"tatti"
"3539",NA,NA,"taught"
"3540",NA,NA,"taxi"
"3541",NA,NA,"tea"
"3542",NA,NA,"teach"
"3543",NA,NA,"teacher"
"3544",NA,NA,"teacoffe"
"3545",NA,NA,"team"
"3546",NA,NA,"teamwork"
"3547",NA,NA,"tear"
"3548",NA,NA,"teatim"
"3549",NA,NA,"technic"
"3550",NA,NA,"techniqu"
"3551",NA,NA,"ted"
"3552",NA,NA,"teen"
"3553",NA,NA,"teenag"
"3554",NA,NA,"teeth"
"3555",NA,NA,"tele"
"3556",NA,NA,"telephon"
"3557",NA,NA,"telephonevirtu"
"3558",NA,NA,"televis"
"3559",NA,NA,"tell"
"3560",NA,NA,"temp"
"3561",NA,NA,"temperatur"
"3562",NA,NA,"temporari"
"3563",NA,NA,"ten"
"3564",NA,NA,"tend"
"3565",NA,NA,"tender"
"3566",NA,NA,"tendin"
"3567",NA,NA,"tennisbadminton"
"3568",NA,NA,"tentat"
"3569",NA,NA,"tentert"
"3570",NA,NA,"teresa"
"3571",NA,NA,"term"
"3572",NA,NA,"termin"
"3573",NA,NA,"terribl"
"3574",NA,NA,"test"
"3575",NA,NA,"text"
"3576",NA,NA,"textur"
"3577",NA,NA,"tha"
"3578",NA,NA,"thai"
"3579",NA,NA,"thank"
"3580",NA,NA,"thank-"
"3581",NA,NA,"thankyou"
"3582",NA,NA,"that"
"3583",NA,NA,"the"
"3584",NA,NA,"theatr"
"3585",NA,NA,"their"
"3586",NA,NA,"thelma"
"3587",NA,NA,"theoret"
"3588",NA,NA,"theori"
"3589",NA,NA,"therapeut"
"3590",NA,NA,"therapi"
"3591",NA,NA,"therapist"
"3592",NA,NA,"therapyund"
"3593",NA,NA,"there"
"3594",NA,NA,"thereaft"
"3595",NA,NA,"therebi"
"3596",NA,NA,"therefor"
"3597",NA,NA,"thermostat"
"3598",NA,NA,"they"
"3599",NA,NA,"they’r"
"3600",NA,NA,"theyd"
"3601",NA,NA,"theyr"
"3602",NA,NA,"theyth"
"3603",NA,NA,"theyv"
"3604",NA,NA,"thin"
"3605",NA,NA,"thing"
"3606",NA,NA,"thingcom"
"3607",NA,NA,"think"
"3608",NA,NA,"third"
"3609",NA,NA,"this"
"3610",NA,NA,"tho"
"3611",NA,NA,"thompson"
"3612",NA,NA,"thornton"
"3613",NA,NA,"thoroguh"
"3614",NA,NA,"thorough"
